iter	Passed	Remaining
0	156	156401
1	158	79339
2	161	53612
3	163	40734
4	165	32867
5	166	27587
6	168	23961
7	170	21125
8	171	18916
9	173	17154
10	174	15721
11	177	14576
12	179	13598
13	180	12687
14	181	11948
15	183	11302
16	185	10736
17	187	10222
18	188	9753
19	190	9314
20	192	8969
21	194	8627
22	195	8286
23	195	7969
24	197	7698
25	198	7437
26	199	7185
27	200	6962
28	201	6744
29	202	6560
30	204	6388
31	205	6212
32	207	6083
33	208	5927
34	209	5774
35	210	5628
36	211	5507
37	212	5382
38	213	5263
39	214	5145
40	215	5043
41	216	4938
42	217	4847
43	218	4748
44	219	4658
45	221	4584
46	221	4495
47	223	4423
48	223	4342
49	224	4270
50	225	4198
51	226	4132
52	227	4064
53	228	4001
54	229	3939
55	230	3880
56	231	3822
57	231	3765
58	232	3710
59	233	3656
60	234	3604
61	235	3556
62	236	3511
63	236	3462
64	237	3417
65	238	3372
66	238	3327
67	239	3283
68	240	3241
69	240	3200
70	241	3158
71	241	3118
72	242	3079
73	243	3041
74	243	3004
75	244	2968
76	244	2933
77	245	2899
78	245	2865
79	246	2832
80	246	2801
81	247	2771
82	247	2738
83	248	2708
84	248	2678
85	249	2649
86	250	2624
87	250	2598
88	251	2571
89	251	2547
90	252	2522
91	253	2498
92	253	2473
93	254	2450
94	254	2427
95	255	2404
96	255	2381
97	256	2359
98	256	2338
99	257	2317
100	257	2296
101	258	2275
102	259	2255
103	259	2235
104	260	2216
105	260	2197
106	261	2178
107	261	2160
108	262	2142
109	262	2125
110	263	2107
111	263	2091
112	264	2074
113	264	2058
114	265	2044
115	266	2029
116	266	2013
117	267	1998
118	268	1984
119	268	1970
120	269	1956
121	269	1940
122	270	1926
123	270	1912
124	271	1898
125	271	1885
126	272	1870
127	272	1857
128	273	1844
129	273	1831
130	274	1819
131	274	1806
132	275	1794
133	275	1782
134	276	1770
135	276	1758
136	277	1746
137	277	1735
138	278	1724
139	278	1712
140	279	1701
141	279	1689
142	280	1680
143	281	1670
144	281	1660
145	282	1650
146	282	1640
147	283	1630
148	283	1620
149	284	1611
150	284	1601
151	285	1592
152	285	1582
153	286	1573
154	286	1564
155	287	1555
156	288	1546
157	288	1538
158	289	1529
159	289	1520
160	290	1511
161	290	1503
162	291	1494
163	291	1486
164	292	1478
165	292	1470
166	293	1462
167	293	1454
168	294	1447
169	294	1439
170	295	1432
171	296	1426
172	296	1419
173	297	1412
174	298	1405
175	298	1398
176	299	1391
177	299	1384
178	300	1376
179	300	1369
180	301	1363
181	301	1356
182	302	1349
183	302	1342
184	303	1335
185	303	1329
186	304	1322
187	304	1316
188	305	1309
189	305	1303
190	306	1297
191	306	1291
192	307	1284
193	307	1278
194	308	1273
195	308	1267
196	309	1261
197	310	1255
198	310	1251
199	311	1246
200	312	1240
201	312	1235
202	313	1229
203	313	1223
204	314	1218
205	314	1212
206	315	1207
207	315	1202
208	316	1196
209	316	1191
210	317	1186
211	317	1181
212	318	1176
213	318	1171
214	319	1165
215	319	1161
216	320	1156
217	320	1151
218	321	1146
219	321	1141
220	322	1136
221	322	1131
222	323	1126
223	323	1122
224	324	1117
225	324	1112
226	325	1108
227	326	1105
228	326	1100
229	327	1096
230	327	1091
231	328	1087
232	328	1083
233	329	1078
234	330	1074
235	330	1070
236	331	1065
237	331	1061
238	332	1057
239	332	1053
240	333	1049
241	333	1045
242	334	1040
243	334	1036
244	335	1033
245	335	1029
246	336	1025
247	336	1021
248	337	1017
249	337	1013
250	338	1009
251	338	1006
252	339	1002
253	339	998
254	340	995
255	341	992
256	342	990
257	343	987
258	343	983
259	344	980
260	344	976
261	345	972
262	345	969
263	346	966
264	347	962
265	347	959
266	348	955
267	348	952
268	349	948
269	349	945
270	350	942
271	350	939
272	351	935
273	351	932
274	352	929
275	353	925
276	353	922
277	354	919
278	354	916
279	355	913
280	355	910
281	356	907
282	357	905
283	357	902
284	358	899
285	359	897
286	360	894
287	360	891
288	361	888
289	361	885
290	362	882
291	362	879
292	363	876
293	364	874
294	364	871
295	365	868
296	365	865
297	366	863
298	366	860
299	367	857
300	368	854
301	368	852
302	369	849
303	369	846
304	370	843
305	370	841
306	371	838
307	372	836
308	373	834
309	373	832
310	374	829
311	375	827
312	375	824
313	376	822
314	377	820
315	377	817
316	378	816
317	379	814
318	380	811
319	381	809
320	381	807
321	382	805
322	383	803
323	383	800
324	384	798
325	384	795
326	385	793
327	386	791
328	387	789
329	387	787
330	388	785
331	389	783
332	389	780
333	390	778
334	391	776
335	391	773
336	392	771
337	392	769
338	393	767
339	393	764
340	394	762
341	395	760
342	395	758
343	396	755
344	397	753
345	397	751
346	398	749
347	398	747
348	399	744
349	399	742
350	400	740
351	400	738
352	401	736
353	402	734
354	403	732
355	403	730
356	404	728
357	405	726
358	405	724
359	406	721
360	406	719
361	407	717
362	407	715
363	408	713
364	409	711
365	409	709
366	410	707
367	410	705
368	411	703
369	411	701
370	412	699
371	413	697
372	413	695
373	414	693
374	414	691
375	415	689
376	416	687
377	416	685
378	417	684
379	418	682
380	419	680
381	419	679
382	420	677
383	420	675
384	421	673
385	422	671
386	422	669
387	423	667
388	423	665
389	424	663
390	424	661
391	425	659
392	425	657
393	426	656
394	427	654
395	427	652
396	428	650
397	428	648
398	429	646
399	429	644
400	430	642
401	430	641
402	431	639
403	432	637
404	433	636
405	433	634
406	434	632
407	434	631
408	435	629
409	436	627
410	436	625
411	437	624
412	437	622
413	438	620
414	438	618
415	439	616
416	440	615
417	440	613
418	441	611
419	441	610
420	442	608
421	442	606
422	443	604
423	444	603
424	444	601
425	445	599
426	445	598
427	446	596
428	446	594
429	447	593
430	448	592
431	449	590
432	449	588
433	450	587
434	450	585
435	451	584
436	452	582
437	452	580
438	453	579
439	453	577
440	454	575
441	454	574
442	455	572
443	455	570
444	456	569
445	457	567
446	457	566
447	458	564
448	458	562
449	459	561
450	459	559
451	460	558
452	460	556
453	461	554
454	462	553
455	462	552
456	463	550
457	464	549
458	465	548
459	465	546
460	466	545
461	467	543
462	467	542
463	468	540
464	468	539
465	469	537
466	469	536
467	470	534
468	470	533
469	471	531
470	472	530
471	472	528
472	473	527
473	473	525
474	474	524
475	474	522
476	475	521
477	475	519
478	476	518
479	477	516
480	477	515
481	478	514
482	479	512
483	479	511
484	480	509
485	480	508
486	481	507
487	482	505
488	482	504
489	483	502
490	483	501
491	484	500
492	485	498
493	485	497
494	486	496
495	486	494
496	487	493
497	487	491
498	488	490
499	489	489
500	489	487
501	490	486
502	490	484
503	491	483
504	491	482
505	492	480
506	493	479
507	494	478
508	494	477
509	495	475
510	495	474
511	496	473
512	497	471
513	497	470
514	498	469
515	498	467
516	499	466
517	499	465
518	500	463
519	501	462
520	501	461
521	502	459
522	502	458
523	503	457
524	504	456
525	504	454
526	505	453
527	505	452
528	506	450
529	506	449
530	507	448
531	508	446
532	508	445
533	509	444
534	510	443
535	511	442
536	511	441
537	512	440
538	513	439
539	514	437
540	514	436
541	515	435
542	516	434
543	516	433
544	517	431
545	517	430
546	518	429
547	519	428
548	519	427
549	520	425
550	521	424
551	521	423
552	522	422
553	522	420
554	523	419
555	524	418
556	525	417
557	526	416
558	527	415
559	528	414
560	528	413
561	529	412
562	530	411
563	531	410
564	532	409
565	532	408
566	533	407
567	534	406
568	534	405
569	535	403
570	535	402
571	536	401
572	537	400
573	537	399
574	538	397
575	539	396
576	540	395
577	540	394
578	541	393
579	541	392
580	542	391
581	542	389
582	543	388
583	544	387
584	544	386
585	545	385
586	546	384
587	546	382
588	547	381
589	547	380
590	548	379
591	548	378
592	549	377
593	550	375
594	550	374
595	551	373
596	551	372
597	552	371
598	553	370
599	553	369
600	554	368
601	555	367
602	556	366
603	556	364
604	557	363
605	558	362
606	558	361
607	559	360
608	559	359
609	560	358
610	560	357
611	561	355
612	562	354
613	562	353
614	563	352
615	563	351
616	564	350
617	564	349
618	565	348
619	566	347
620	566	345
621	567	344
622	567	343
623	568	342
624	569	341
625	569	340
626	570	339
627	571	338
628	571	337
629	572	336
630	572	335
631	573	333
632	573	332
633	574	331
634	575	330
635	575	329
636	576	328
637	576	327
638	577	326
639	577	325
640	578	323
641	579	322
642	579	321
643	580	320
644	580	319
645	581	318
646	581	317
647	582	316
648	583	315
649	583	314
650	584	313
651	584	312
652	585	311
653	586	310
654	586	309
655	587	307
656	587	306
657	588	305
658	589	304
659	589	303
660	590	302
661	590	301
662	591	300
663	591	299
664	592	298
665	593	297
666	593	296
667	594	295
668	594	294
669	595	293
670	595	292
671	596	291
672	597	290
673	597	289
674	598	287
675	598	286
676	599	285
677	599	284
678	600	283
679	601	282
680	601	281
681	602	280
682	602	279
683	603	278
684	604	277
685	604	276
686	605	275
687	606	274
688	606	273
689	607	272
690	607	271
691	608	270
692	608	269
693	609	268
694	609	267
695	610	266
696	610	265
697	611	264
698	612	263
699	612	262
700	613	261
701	613	260
702	614	259
703	614	258
704	615	257
705	616	256
706	617	255
707	617	254
708	618	253
709	618	252
710	619	251
711	619	250
712	620	249
713	620	248
714	621	247
715	622	246
716	622	245
717	623	244
718	623	243
719	624	242
720	624	241
721	625	240
722	626	239
723	626	238
724	627	237
725	627	236
726	628	235
727	628	234
728	629	234
729	630	233
730	631	232
731	631	231
732	632	230
733	633	229
734	633	228
735	634	227
736	634	226
737	635	225
738	636	224
739	636	223
740	637	222
741	637	221
742	638	220
743	638	219
744	639	218
745	640	217
746	640	216
747	641	216
748	641	215
749	642	214
750	642	213
751	643	212
752	644	211
753	644	210
754	645	209
755	645	208
756	646	207
757	647	206
758	647	205
759	648	204
760	648	203
761	649	202
762	650	201
763	650	200
764	651	200
765	651	199
766	652	198
767	652	197
768	653	196
769	654	195
770	654	194
771	655	193
772	655	192
773	656	191
774	656	190
775	657	189
776	657	188
777	658	187
778	658	186
779	659	186
780	660	185
781	660	184
782	661	183
783	662	182
784	663	181
785	663	180
786	664	179
787	665	178
788	665	177
789	666	177
790	666	176
791	667	175
792	667	174
793	668	173
794	668	172
795	669	171
796	670	170
797	670	169
798	671	168
799	671	167
800	672	167
801	672	166
802	673	165
803	674	164
804	674	163
805	675	162
806	675	161
807	676	160
808	677	159
809	677	158
810	678	158
811	679	157
812	679	156
813	680	155
814	680	154
815	681	153
816	681	152
817	682	151
818	682	150
819	683	150
820	684	149
821	684	148
822	685	147
823	685	146
824	686	145
825	686	144
826	687	143
827	688	142
828	688	142
829	689	141
830	689	140
831	690	139
832	690	138
833	691	137
834	692	136
835	693	135
836	693	135
837	694	134
838	694	133
839	695	132
840	696	131
841	696	130
842	697	129
843	697	128
844	698	128
845	698	127
846	699	126
847	700	125
848	700	124
849	701	123
850	701	122
851	702	122
852	702	121
853	703	120
854	704	119
855	704	118
856	705	117
857	705	116
858	706	115
859	706	115
860	707	114
861	708	113
862	708	112
863	709	111
864	709	110
865	710	109
866	710	109
867	711	108
868	711	107
869	712	106
870	713	105
871	713	104
872	714	103
873	714	103
874	715	102
875	715	101
876	716	100
877	716	99
878	717	98
879	718	97
880	718	97
881	719	96
882	719	95
883	720	94
884	721	93
885	721	92
886	722	92
887	723	91
888	723	90
889	724	89
890	725	88
891	725	87
892	726	87
893	727	86
894	727	85
895	728	84
896	728	83
897	729	82
898	729	81
899	730	81
900	731	80
901	731	79
902	732	78
903	732	77
904	733	76
905	733	76
906	734	75
907	734	74
908	735	73
909	736	72
910	736	71
911	737	71
912	738	70
913	738	69
914	739	68
915	739	67
916	740	67
917	741	66
918	741	65
919	742	64
920	742	63
921	743	62
922	743	62
923	744	61
924	744	60
925	745	59
926	746	58
927	746	57
928	747	57
929	747	56
930	748	55
931	748	54
932	749	53
933	750	52
934	750	52
935	751	51
936	753	50
937	754	49
938	755	49
939	755	48
940	756	47
941	757	46
942	757	45
943	758	45
944	759	44
945	759	43
946	760	42
947	761	41
948	761	40
949	762	40
950	762	39
951	763	38
952	764	37
953	764	36
954	765	36
955	766	35
956	766	34
957	767	33
958	768	32
959	769	32
960	769	31
961	770	30
962	771	29
963	771	28
964	772	28
965	773	27
966	773	26
967	774	25
968	775	24
969	775	23
970	776	23
971	777	22
972	777	21
973	778	20
974	778	19
975	779	19
976	780	18
977	780	17
978	781	16
979	782	15
980	782	15
981	783	14
982	784	13
983	785	12
984	785	11
985	786	11
986	787	10
987	787	9
988	788	8
989	789	7
990	789	7
991	790	6
992	790	5
993	791	4
994	792	3
995	792	3
996	793	2
997	793	1
998	794	0
999	794	0
